title,author,year,tradition,key_concepts,short_summary,central_argument,related_books,source
L'être et le néant,Jean-Paul Sartre,1943,Existentialism,existentiaism; bad faith; authenticity; for-itself (pour-soi); in-itself (en-soi),"L'être et le néant (Being and Nothingness) is a philosophical treatise by Jean-Paul Sartre that explores existentialism, human freedom, and the nature of consciousness.","Human beings are free to create their own identities but are also burdened with the responsibility of such self-creation, as they must continually justify their actions and choices.",,open_library
Existentialism from Dostoevsky to Sartre,Walter Arnold Kaufmann,1956,Existentialism,existentialism; individualism; freedom; responsibility; absurdity; authenticity; anguish,"A comprehensive exploration of the development of existentialist thought from Dostoevsky to Sartre, delving into their unique perspectives on human existence, freedom, and responsibility.","Explores how Dostoevsky and Sartre, among others, contributed significantly to the evolution of existentialism by emphasizing individual freedom, personal responsibility, and the absurdity of life in their respective works.",,open_library
Existentialism,Unknown Author,1975,Existentialism,existence before essence; angst; absurdity; authenticity; bad faith,"Existentialism is a collection of essays that explores various existential themes such as freedom, responsibility, and individuality in human existence, published in 1975.",Human beings are defined by their free will and personal responsibility for the choices they make in life.,,open_library
L' existentialisme est un humanisme,Jean-Paul Sartre,1946,Existentialism,existence-pour-soi; existence-en-soi; bad faith; authenticity; freedom; angst,"L'existentialisme est un humanisme presents Sartre's vision of existentialism as a humanist philosophy, emphasizing individual freedom, responsibility, and authenticity.","Human existence is characterized by freedom, which entails the burden of personal responsibility for one's choices.",,open_library
Justice as Fairness,John Rawls,1958,Political Philosophy,veil of ignorance; original position; justice as fairness; distributive justice; basic liberties; maximin principle,Justice as Fairness outlines a theory of justice that aims to establish principles for a just society by imagining a hypothetical situation where individuals choose societal rules blind to their personal circumstances.,"The most just society is one in which its basic institutions are arranged to maximize the well-being and rights of the least advantaged members, under the veil of ignorance.",,open_library
John Rawls Justice As Fairness . Begrenzte Lehre Oder Universelle Moraltheorie der Gerechtigkeit?,Julius Bonaventura,2019,Political Philosophy,justice as fairness; limited theory; universal moral theory; democratic societies; political philosophy,Julius Bonaventura's 'John Rawls: Justice as Fairness. Begrenzte Lehre Oder Universelle Moraltheorie der Gerechtigkeit?' explores and critiques John Rawls' theory of justice as fairness within political philosophy.,"The book argues that while Rawls' theory provides valuable insights, it may be incomplete due to its focus on limited democratic societies and lacks a universal moral theory of justice.",,open_library
Understanding John Rawls,Hercules Bantas,2010,Political Philosophy,justice; fairness; social contract theory; veil of ignorance; distributive justice; primary goods,"Understanding John Rawls offers an accessible exploration of the life and works of prominent political philosopher John Rawls, focusing on his theories of justice and democratic equality.","'Justice as Fairness' is the principle that should govern a well-ordered society, emphasizing equal basic rights, liberties, and opportunities for all citizens through a hypothetical social contract scenario.",,open_library
Political liberalism,John Rawls,1993,Political Philosophy,political liberalism; justice as fairness; veil of ignorance; overlapping consensus; reasonable pluralism; burdens of judgment,"John Rawls' 'Political Liberalism' presents a revised version of his theory of justice as fairness, aimed at finding common ground among reasonable pluralistic societies with various comprehensive doctrines.",'The burdens of judgment' are the unavoidable disagreements and conflicting interpretations that make it necessary for a well-ordered society to be based on a political liberalism rather than a comprehensive doctrine.,,open_library
John Rawls and Environmental Justice,John Töns,2021,Political Philosophy,justice as fairness; environmental justice; sustainability; social equality; distributive justice; environmental resources,"John Töns's 'John Rawls and Environmental Justice' explores how John Rawls' political philosophy can be applied to environmental justice issues, advocating for a more equitable distribution of environmental burdens and benefits.",'Justice as fairness' should include principles for the equal distribution of environmental resources and burdens to promote sustainability and ensure social equality in environmental matters.,,open_library
Symposium: John Rawl's A theory of justice.,Unknown Author,1973,Political Philosophy,justice as fairness; veil of ignorance; original position; maximin; basic rights and liberties; difference principle,"In 'A Theory of Justice', John Rawls proposes a social contract theory for a just society, where principles of justice are determined behind a veil of ignorance.","'Justice as Fairness' is the principle that should govern a well-ordered society, ensuring fairness and equality among its members.",,open_library
Human nature,Thomas Hobbes,1684,Political Philosophy,state-of-nature; social-contract; leviathan; sovereignty; natural-rights,"Human Nature explores Thomas Hobbes' theories on human behavior, society, and government, positing that in a state of nature, life is 'solitary, poor, nasty, brutish, and short'.","'Life in the state of nature is solitary, poor, nasty, brutish, and short' and that to escape this condition, individuals must surrender their natural freedoms to an absolute sovereign for social order.",,open_library
The English works of Thomas Hobbes of Malmesbury,Thomas Hobbes,1839,Political Philosophy,social contract; sovereignty; state of nature; natural rights; absolute power,"The English works of Thomas Hobbes contains his seminal political philosophy texts, including 'Leviathan,' which presents a social contract theory and absolute sovereignty as necessary for maintaining order and avoiding the 'state of nature' chaos.","'Sovereign power is a moral fact derived from the consent of those governed, who surrender their individual natural rights to avoid the state of nature anarchy.'",,open_library
De cive,Thomas Hobbes,1949,Political Philosophy,sovereignty; social contract; state of nature; leviathan; natural law,De Cive (Latin for 'The Citizen') is a political treatise by Thomas Hobbes arguing that the creation of a strong central government is essential to maintain peace and order in society due to the inherent state of nature's war among individuals.,"'Life in the state of nature without government is solitary, poor, nasty, brutish, and short'",,open_library
Leviatán,Thomas Hobbes,2018,Political Philosophy,sovereignty; social contract; state of nature; natural rights; absolutism; utilitarianism,"Leviatán is a political philosophy work by Thomas Hobbes, published in 1651, where he argues for a strong centralized government to maintain peace and order amidst the chaos of the English Civil War.","'The life of man... is solitary, poor, nasty, brutish, and short.' To escape this state, individuals must surrender their natural freedom to an absolute sovereign for social order and peace.",,open_library
Essay concerning human understanding,John Locke,1689,Political Philosophy,empiricism; tabula rasa; simple idea; complex idea; primary and secondary qualities,"Essay concerning human understanding outlines Locke's empiricist theory of knowledge, asserting that all ideas originate from sensation or reflection.",'All simple ideas are derived either from sensation or reflection'.,,open_library
The works of John Locke,John Locke,1714,Political Philosophy,social contract theory; natural rights; consent of the governed; government; state of nature,"The works of John Locke, particularly his 'Two Treatises of Government,' present a social contract theory arguing that people have natural rights and establish government through consent to preserve these rights.","'Government derives its power from the consent of the governed, who agree to establish it in order to protect their natural rights.'",,open_library
Some thoughts concerning education,John Locke,1693,Political Philosophy,tabula rasa; empiricism; reason; experience; moral guidance; education,"Some Thoughts Concerning Education presents Locke's ideas on education, advocating for a child-centered approach that emphasizes reason, experience, and moral guidance.","'The mind of a young child is like a blank slate (tabula rasa), which can be shaped through proper education.'",,open_library
John Locke,Maurice Cranston,1957,Political Philosophy,state of nature; social contract; natural rights; tabula rasa; liberty; property,"Cranston's 'John Locke' is an exploration of the life and political philosophy of 17th-century English philosopher John Locke. It delves into his theories on natural rights, government, and social contract.","'Anarchy is the state of nature, order issues from a social contract where individuals voluntarily surrender some freedoms to establish a government for common protection.'",,open_library
Essay concerning the true original extent and end of civil government,John Locke,1691,Political Philosophy,natural rights; consent of the governed; limited government; social contract; state of nature,"John Locke's 'Two Treatises of Government' (1690) presents arguments for limited government, consent of the governed, and natural rights. Essay concerning the true original extent and end of civil government (1691) is a companion piece focusing on the origins and purpose of political power.","Government exists to protect individual natural rights (life, liberty, and property), derived from God or nature, and its powers are consensually granted by the people, limited to this purpose.",,open_library
Two Treatises on Government,John Locke,1689,Political Philosophy,natural rights; social contract; consent of the governed; tyranny; property,"Two Treatises on Government by John Locke explores the natural rights of individuals, legitimacy of government, and justification for rebellion against tyranny.","Legitimate governments exist to protect the property and lives of their citizens, and have the consent of those governed.",,open_library
The conduct of the understanding,John Locke,1781,Political Philosophy,empiricism; critical thinking; education; experience; reasoning; tabula rasa,"John Locke's 'The Conduct of the Understanding' outlines his educational theories, emphasizing the importance of empirical methods in learning and critical thinking.","Locke argues that education should be based on experience, reasoning, and the questioning of accepted knowledge.",,open_library
The Second Treatise on Civil Government (Great Books in Philosophy),John Locke,1956,Political Philosophy,social contract; consent of the governed; natural rights; state of nature; property,John Locke's 'The Second Treatise on Civil Government' presents a social contract theory arguing that government derives its authority from the consent of the governed.,'Government derives its just power from the consent of the governed.',,open_library
Philosophical essays concerning human understanding,David Hume,1900,Empiricism,empiricism; rationalism; skepticism; inductive reasoning; causality; passion and reason,"David Hume's 'Philosophical Essays concerning Human Understanding', originally published in 1748, explores epistemology, the nature of human knowledge, and the limits of reason. It critiques rationalism and emphasizes empiricism as a basis for understanding.","'Reason is slave to the passions' - arguing that our beliefs are primarily based on experience, not pure reasoning.",,open_library
Dialogues Concerning Natural Religion,David Hume,1779,Empiricism,empiricism; natural religion; reason; instincts; customs; deism,"Dialogues Concerning Natural Religion is a posthumous work by David Hume, discussing the nature of religion through a series of conversations between three characters. They explore the origins and validity of religious beliefs based on empirical evidence.","The book argues that reason alone cannot provide a satisfactory foundation for religious beliefs; instead, they are largely based on human emotions and beliefs derived from instincts and customs.",,open_library
A treatise of human nature,David Hume,1739,Empiricism,empiricism; cause and effect; skepticism; belief; impression and idea,"A Treatise of Human Nature explores human nature based on empiricism, presenting theories on topics like causation, personal identity, morality, and human understanding.",All ideas and concepts are derived from experience and have no basis in innate ideas or reason alone.,,open_library
Treatise of Human Nature [by D. Hume],David Hume,2015,Empiricism,impressions; ideas; association of ideas; habits of the mind; skepticism; passions and interests,"David Hume's 'Treatise of Human Nature', published in 1739-40, presents a foundational empiricist account of human understanding, explaining how we acquire ideas, develop beliefs, and form moral judgments based on experiences.","'Understanding is the result of impressions and ideas, with all knowledge ultimately derived from experience.'",,open_library
The history of England,David Hume,1754,Empiricism,empiricism; constitutionalism; monarchy; parliamentary democracy; political stability; rule of law,David Hume's 'The History of England' is a six-volume political history that critically analyzes England's constitutional development from the Norman Conquest to the Glorious Revolution.,"Hume argues for a gradual shift in power dynamics between monarchy and parliament, emphasizing the importance of political stability through the rule of law and representation.",,open_library
The life of David Hume,Ernest Campbell Mossner,1954,Empiricism,empiricism; skepticism; inductive reasoning; naturalism; cause and effect; morality,"Ernest Campbell Mossner's 'The Life of David Hume' is a comprehensive biography that explores the life, work, and philosophical contributions of the Scottish philosopher David Hume, a key figure in the Empiricist tradition.",'The Life of David Hume' does not present a central argument as it is a biographical account rather than a philosophical treatise.,,open_library
An enquiry concerning the principles of morals,David Hume,1751,Empiricism,empiricism; sentiment; reason; moral judgments; divine command; moral distinctions,"An Enquiry concerning the Principles of Morals discusses Hume's empiricist view on morality, arguing that moral judgments are derived from human sentiments and not from reason or divine command.",'Moral distinctions arise not from reason but from sentiment or feeling.',,open_library
The essential David Hume,David Hume,1969,Empiricism,skepticism; causality; empiricism; passion; custom; human nature,"The Essential David Hume is a collection of works by the Scottish philosopher, presenting his influential views on topics including skepticism, causality, and ethics within the empiricist tradition.","'Reason is the slave of the passions' – Hume argues that our beliefs are primarily based on custom and experience rather than reason alone, and that morals are derived from sentiments and human nature.",,open_library
Discours de la méthode,René Descartes,1644,Rationalism,cogito ergo sum; methodical doubt; clear and distinct ideas; innate ideas; Cartesian coordinates,Descartes outlines his method of doubt to arrive at indubitable truths and establish the foundations of modern science in this seminal work.,"By doubting all knowledge acquired through senses and accepting only what can be logically deduced from self-evident truths, one can attain certainty.",,open_library
Meditationes de prima philosophia,René Descartes,1642,Rationalism,methodical doubt; cogito; subjective certainty; Cartesian dualism; clear and distinct perceptions,"Meditationes de prima philosophia, also known as Meditations on First Philosophy, is a work by René Descartes in which he presents his methodical doubt and arrives at his famous statement 'Cogito ergo sum' ('I think, therefore I am') as the foundation of knowledge.","'Cogito ergo sum': I think, therefore I exist', serving as the foundation for all subsequent knowledge",,open_library
The great conversation,Norman Melchert,1991,Rationalism,western philosophy; great conversation; continuity; dialogue; shared themes; philosophical history,"The Great Conversation outlines the development of Western philosophy from ancient Greece through the modern era, emphasizing its ongoing dialogue and shared themes.","'Western philosophy has a continuous and coherent Great Conversation that transcends time periods, individuals, and schools of thought.'",,open_library
Three reformers,Jacques Maritain,1925,Rationalism,rationalism; cartesianism; jansenism; baroque; catholicism,"Three Reformers explores the lives and ideas of three influential thinkers in the history of Western philosophy: Descartes, Pascal, and Bossuet. The book discusses their contributions to rationalism and their impact on religious thought.","Maritain argues that these three reformers, despite their differences, shared a commitment to reconcile reason and faith in the context of the Catholic Church, shaping modern Western philosophy and theology.",,open_library
Descartes,René Descartes,1909,Rationalism,cogito ergo sum; methodological skepticism; innate ideas; dualism; clear and distinct perceptions,"Descartes presents his philosophical system in 'Discourse on Method', which outlines a method for seeking truth through doubt, lays the groundwork for modern philosophy, and introduces key concepts like cogito ergo sum (I think, therefore I am), innate ideas, and dualism.","The mind and body are distinct substances, each governed by different laws.",,open_library
Principia philosophiae,René Descartes,1644,Rationalism,cogito ergo sum; mind-body dualism; clear and distinct ideas; substance dualism; innate ideas; God as guarantor of truth,"Principia Philosophiae, or 'The Principles of Philosophy', is Descartes' comprehensive account of his philosophy, outlining the foundations of knowledge, mind-body dualism, and God's existence within the framework of rationalism.","'Cogito ergo sum': I think therefore I am, the foundation of certainty and knowledge in Descartes' system.",,open_library
Descartes' error,Antonio R. Damasio,1994,Rationalism,emotion; consciousness; rationality; mind-body problem; Descartes' view; neuroscience,"Descartes' Error explores how emotions and feelings influence rational decision-making, arguing that Descartes' view of mind as purely rational and separate from the body is inaccurate.",'Emotion systems are essential to producing a conscious self that can make rational decisions.',,open_library
Descartes' Dream,Philip J. Davis,1986,Rationalism,rationalism; Cartesian dualism; cogito ergo sum; methodological doubt; mathematical idealism; ontological argument,"Descartes' Dream is a narrative exploration of Rene Descartes' philosophical ideas, discussing his influence on mathematics, science, and philosophy, presenting the philosopher as a dreamer who struggles to reconcile faith and reason.","'Reason alone can lead to certain knowledge', asserting that through rationalism, Descartes' methods paved the way for modern Western thought.",,open_library
Ethica,Benedictus de Spinoza,1883,Rationalism,pantheism; attribute; substance; God's essence; mind-body unity; adequate idea,"Ethica is a comprehensive philosophical treatise by Benedictus de Spinoza on metaphysics, epistemology, and ethics, expounding his pantheistic worldview, God's attributes, and human nature.","'God or substance consists of an infinite chain of attributes, of which thought and extension are two fundamental aspects, and humans have the capacity for knowledge of God through reason, leading to a blessed life.'",,open_library
Spinoza's Ethics,Beth Lord,2010,Rationalism,god-or-nature; substance; attribution; infinity; monism,"Lord's 'Spinoza's Ethics' provides an accessible interpretation of Baruch Spinoza's groundbreaking philosophical work, focusing on its ethics, metaphysics, and politics.","'God or Nature is the sole substance, infinitely extended in space and time, and attributes such as thought and extension are but different expressions of this one substance.'",,open_library
Spinoza's Ethics,Michael LeBuffe,2023,Rationalism,god-or-nature; substance; mode; attributed-to-god; pantheism; determinism,"LeBuffe's 'Spinoza's Ethics' offers a comprehensive guide to Baruch Spinoza's seminal work 'Ethics', delving into its complex metaphysics, epistemology, and ethics.",'God or Nature is the sole substance in the universe; everything else is merely a mode of this substance.',,open_library
Spinoza's 'Ethics',Steven Nadler,2006,Rationalism,god-or-nature; substance; attributes; pantheism; rationalism; infinite-intellect,"Steven Nadler's 'Spinoza's Ethics' is a comprehensive analysis of Baruch Spinoza's groundbreaking work, 'Ethics', providing insights into its metaphysics, epistemology, and the unique blend of pantheism and rationalism.","'God or Nature is the only substance that exists, and it is expressed in two attributes: thought (attribute of God as infinite intellect) and extension (attribute of God as the physical universe).'",,open_library
Spinoza's 'ethics',J. Thomas Cook,2007,Rationalism,substance; attribute; God-nature unity; determinism; ethics; good,"J. Thomas Cook's 'Spinoza's Ethics' offers a comprehensive interpretation of Spinoza's philosophical treatise, exploring its metaphysical underpinnings and ethical implications.","'Ethics' argues for the unity of God, nature, and the individual through the concept of substance and attributes, leading to a deterministic yet harmonious understanding of existence.",,open_library
Spinoza's 'Ethics',Yitzhak Y. Melamed,2017,Rationalism,god; substance; attribution; causality; affective determinism; spinozist pantheism,"Yitzhak Y. Melamed's 'Spinoza's Ethics' provides a comprehensive exploration of the philosophical work 'Ethics' by Baruch Spinoza, focusing on its arguments for God, human nature, and moral living.","'God is the immanent cause of all things, and we are part of this single substance, striving for greater understanding and harmony as expressions of God's attributes'",,open_library
Ethics (Penguin Classics),Benedictus de Spinoza,2005,Rationalism,god-or-nature; monism; substance; attribute; mode; causality,"Spinoza's Ethics outlines his system of rationalism and monism, exploring topics such as God, the nature of reality, and human ethics.","Everything in existence is part of God or Nature, and our understanding of it leads to greater happiness or 'beatitude'",,open_library
Spinoza's 'Ethics',Campbell,2002,Rationalism,philosophy,A philosophical work by Campbell (2002).,,,open_library
Philosophische Untersuchungen,Ludwig Wittgenstein,1953,Analytic Philosophy,"language and languages; symbolic and mathematical logic; ordinary language philosophy; private language problem; language and languages, philosophy",A philosophical work by Ludwig Wittgenstein (1953).,,,open_library
Ludwig Wittgenstein,Ray Monk,1990,Analytic Philosophy,philosophy,A philosophical work by Ray Monk (1990).,,,open_library
Wittgensteins Neffe,Thomas Bernhard,1983,Analytic Philosophy,philosophy,A philosophical work by Thomas Bernhard (1983).,,,open_library
Wittgenstein's mistress,David Markson,1988,Analytic Philosophy,philosophy,A philosophical work by David Markson (1988).,,,open_library
Vermischte Bemerkungen,Ludwig Wittgenstein,1977,Analytic Philosophy,philosophy,A philosophical work by Ludwig Wittgenstein (1977).,,,open_library
Über Gewissheit,Ludwig Wittgenstein,1969,Analytic Philosophy,philosophy,A philosophical work by Ludwig Wittgenstein (1969).,,,open_library
Bemerkungen über die Grundlagen der Mathematik,Ludwig Wittgenstein,1956,Analytic Philosophy,logic,A philosophical work by Ludwig Wittgenstein (1956).,,,open_library
Autobiography,Bertrand Russell,1944,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1944).,,,open_library
A History of Western Philosophy,Bertrand Russell,1945,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1945).,,,open_library
The Problems of Philosophy,Bertrand Russell,1900,Analytic Philosophy,"theory of knowledge; metaphysics; knowledge, theory of",A philosophical work by Bertrand Russell (1900).,,,open_library
Why I am not a Christian,Bertrand Russell,1927,Analytic Philosophy,godsdienstfilosofie,A philosophical work by Bertrand Russell (1927).,,,open_library
Authority and the Individual,Bertrand Russell,1949,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1949).,,,open_library
The ABC of atoms,Bertrand Russell,1923,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1923).,,,open_library
Philosophical essays,Bertrand Russell,1910,Analytic Philosophy,logic,A philosophical work by Bertrand Russell (1910).,,,open_library
The conquest of happiness,Bertrand Russell,1930,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1930).,,,open_library
Histoire de la sexualité,Michel Foucault,1976,Post-structuralism,sexual ethics,A philosophical work by Michel Foucault (1976).,,,open_library
Discipline and Punish,Michel Foucault,1975,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1975).,,,open_library
"L'histoire de la sexualité, t.1",Michel Foucault,1976,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1976).,,,open_library
Michel Foucault,Didier Eribon,1989,Post-structuralism,philosophy,A philosophical work by Didier Eribon (1989).,,,open_library
Folie et déraison; histoire de la folie,Michel Foucault,1965,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1965).,,,open_library
Naissance de la clinique,Michel Foucault,1963,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1963).,,,open_library
Mots et les choses,Michel Foucault,1970,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1970).,,,open_library
"Histoire de la sexualité, tome 2",Michel Foucault,1984,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1984).,,,open_library
Le Deuxième Sexe,Simone de Beauvoir,1949,Existentialism,philosophy,A philosophical work by Simone de Beauvoir (1949).,,,open_library
Mémoires d'une jeune fille rangée,Simone de Beauvoir,1900,Existentialism,philosophy,A philosophical work by Simone de Beauvoir (1900).,,,open_library
Une mort tres douce,Simone de Beauvoir,1964,Existentialism,french language,A philosophical work by Simone de Beauvoir (1964).,,,open_library
Les Mandarins,Simone de Beauvoir,1954,Existentialism,french language materials,A philosophical work by Simone de Beauvoir (1954).,,,open_library
The Woman Destroyed,Simone de Beauvoir,1967,Existentialism,french language materials,A philosophical work by Simone de Beauvoir (1967).,,,open_library
Pour une morale de l'ambiguite ,Simone de Beauvoir,1947,Existentialism,ethics; ethics & moral philosophy - theoretical,A philosophical work by Simone de Beauvoir (1947).,,,open_library
Tous les hommes sont mortels,Simone de Beauvoir,1946,Existentialism,philosophy,A philosophical work by Simone de Beauvoir (1946).,,,open_library
Les Belles Images,Simone de Beauvoir,1966,Existentialism,russian language books,A philosophical work by Simone de Beauvoir (1966).,,,open_library
Lun yu,Confucius,1750,Eastern Philosophy,ethics; chinese ethics,A philosophical work by Confucius (1750).,,,open_library
Lunyu,Confucius,1904,Eastern Philosophy,ethics; chinese ethics; confucian ethics,A philosophical work by Confucius (1904).,,,open_library
Confucius Analects,Confucius,2003,Eastern Philosophy,philosophy,A philosophical work by Confucius (2003).,,,open_library
Lun yü,Confucius,1900,Eastern Philosophy,philosophy,A philosophical work by Confucius (1900).,,,open_library
Confucian analects,Confucius,1895,Eastern Philosophy,ethics,A philosophical work by Confucius (1895).,,,open_library
The Analects,Confucius,1979,Eastern Philosophy,philosophy,A philosophical work by Confucius (1979).,,,open_library
Confucius Analects,Len Losik,2016,Eastern Philosophy,philosophy,A philosophical work by Len Losik (2016).,,,open_library
